magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,name,alt,az,distance,x,y
2.88,44.5654818,-40.30473491,20.22,-53.53,25.71,2.97103212,1991.25,HIP13847,0.27256041367557815,161.38193836950924,1.0201e+07 au,2.223952876829259,2.832255449713041
2.54,45.56991279,4.08992539,14.82,-11.81,-78.76,3.0379941859999997,1991.25,HIP14135,41.92335608892899,144.3026634949847,1.3918e+07 au,0.5883939888263199,1.1729114649416188
2.91,46.19912598,53.50645031,12.72,0.5,-4.19,3.079941732,1991.25,HIP14328,71.80701498750982,58.18176572204524,1.62158e+07 au,0.17002703831214647,0.5107588459937364
3.32,46.29373754,38.84053298,10.03,128.69,-106.61,3.0862491693333336,1991.25,HIP14354,69.10988341657973,102.35802507849004,2.05648e+07 au,0.261356523250119,0.6636100517404623
2.09,47.04220716,40.9556512,35.14,2.39,-1.44,3.1361471439999997,1991.25,Algol,69.59597776318701,96.29199757724795,5.8698e+06 au,0.25320086672985587,0.6363232362431618
3.79,47.37345463,44.85788896,29.05,173.01,-142.05,3.1582303086666665,1991.25,HIP14668,70.72282965999094,85.24460764739942,7.10034e+06 au,0.22984695386022042,0.5932593455533507
3.8,48.01783332,-28.98910623,70.86,371.49,612.26,3.201188888,1991.25,HIP14879,10.161777305683906,155.15070035568104,2.91088e+06 au,1.5560397020134042,2.0304023461921354
3.7,49.87904033,-21.7579421,12.63,51.35,32.2,3.3252693553333335,1991.25,HIP15474,16.366410465448155,150.97095399219313,1.63313e+07 au,1.294095893541111,1.7027795505781258
1.79,51.08061889,49.86124281,5.51,24.11,-26.01,3.4053745926666665,1991.25,Mirfak,69.03194287671712,69.67942633637986,3.74346e+07 au,0.22154303370587378,0.5271209127177282
3.61,51.20349011,9.02906504,15.42,-74.25,-80.31,3.413566007333333,1991.25,HIP15900,43.815881676603766,134.44505746168605,1.33764e+07 au,0.6150238290257559,1.0088631088189446
3.73,51.79217049,9.7327724,14.68,53.61,-38.12,3.4528113659999997,1991.25,HIP16083,44.132330157083736,133.25413869627198,1.40507e+07 au,0.6139332916055608,0.9899503221295801
3.72,53.23509009,-9.45830584,310.75,-976.44,17.97,3.549006006,1991.25,Sadira,26.435779936944495,142.61757534045648,6.63765e+05 au,0.9978181518285884,1.2981685151365576
3.01,55.7311754,47.7876533,6.18,23.83,-41.93,3.715411693333333,1991.25,HIP17358,65.73672735427553,74.05122647497402,3.33762e+07 au,0.2645069013502486,0.5239182924569695
3.52,55.81231706,-9.76519868,110.58,-91.71,742.23,3.720821137333333,1991.25,HIP17378,25.056631645618324,140.21344062726925,1.8653e+06 au,1.0549760209767434,1.2392470521405987
3.84,56.04814541,-64.80709398,32.71,308.39,78.72,3.736543027333333,1991.25,HIP17440,-24.995270834756603,163.913605485633,6.30586e+06 au,7.807246718406193,-0.44461033221168433
3.84,56.07969347,32.28827325,2.21,8.11,-10.32,3.7386462313333335,1991.25,HIP17448,58.84947285249702,104.41985108775407,9.33325e+07 au,0.40101634239960615,0.6676165338744707
3.72,56.21884811,24.1134484,8.8,21.55,-44.92,3.7479232073333337,1991.25,HIP17499,53.20675450542789,115.05364064215534,2.34392e+07 au,0.48784194348648297,0.7524177111840359
3.77,56.29851422,42.57854437,5.86,-14.59,1.75,3.7532342813333335,1991.25,HIP17529,63.888332911738864,85.55630139669847,3.51988e+07 au,0.30993009168330304,0.5674636921052724
3.87,56.45663804,24.36785796,9.06,21.09,-45.03,3.7637758693333336,1991.25,HIP17573,53.24404168439978,114.49871796592996,2.27665e+07 au,0.48735374660508535,0.7471899228520773
