magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,name,alt,az,distance,x,y
3.62,57.29054669,24.05352412,8.57,17.77,-44.7,3.8193697793333334,1991.25,HIP17847,52.71941200343995,114.33709769984219,2.40682e+07 au,0.4955711234319847,0.7457536779202759
2.84,58.53299363,31.88365776,3.32,4.41,-9.15,3.9021995753333334,1991.25,HIP18246,57.203944512809244,102.95985371829478,6.2128e+07 au,0.42251592668307425,0.6539972985812286
2.9,59.46342138,40.01027315,6.06,12.61,-24.06,3.964228092,1991.25,HIP18532,60.91799415096945,88.7733974075456,3.40371e+07 au,0.3512279656017491,0.5720441040332043
2.97,59.50720862,-13.50824471,14.75,60.51,-111.34,3.9671472413333335,1991.25,HIP18543,20.229062346464985,138.91461615504852,1.39841e+07 au,1.2179767099077239,1.2146243000771535
3.98,59.74124892,35.79102701,1.84,1.92,2.3,3.9827499279999996,1991.25,HIP18614,58.64606981952858,95.85925804704283,1.121e+08 au,0.39298216669248365,0.6075274968620681
3.41,60.17008591,12.49037571,8.81,-8.15,-11.98,4.011339060666667,1991.25,HIP18724,42.07273096771781,122.18334309505222,2.34126e+07 au,0.6774470081315793,0.8387543836283393
3.91,60.78907003,5.98930909,25.24,5.52,-1.63,4.052604668666667,1991.25,HIP18907,36.40327576939075,126.37274574967087,8.17214e+06 au,0.79003686504896,0.9055863123273518
3.96,62.16530527,47.71259359,5.89,20.19,-33.26,4.144353684666666,1991.25,HIP19343,61.731005316682065,72.25919865387911,3.50195e+07 au,0.29907880581210317,0.4911672754599508
3.85,63.5003388,-42.29387294,27.85,41.89,-203.65,4.23335592,1991.25,HIP19747,-6.920766657189467,149.26488690684454,7.40628e+06 au,2.8831936297970047,1.4367447222273437
3.33,63.60596306,-62.47397888,19.98,41.64,49.72,4.240397537333333,1991.25,HIP19780,-24.50499038926671,159.59811292985623,1.03236e+07 au,6.126729467417352,-0.28424098201322767
3.55,64.47341068,-33.79833145,18.27,62.31,-6.75,4.298227378666667,1991.25,HIP20042,0.18148445308492034,144.52549206767426,1.12898e+07 au,2.201165297726979,1.3229202865109047
3.65,64.94805793,15.62770031,21.17,115.29,-23.86,4.3298705286666666,1991.25,HIP20205,41.64168943372848,114.6876602842422,9.74326e+06 au,0.678804296919954,0.7371213915176347
3.77,65.73344722,17.5425843,21.29,107.75,-28.84,4.382229814666667,1991.25,HIP20455,42.58971801683594,112.22556731874559,9.68834e+06 au,0.6578037098320753,0.7086799617320343
3.97,66.00902233,-34.01698632,11.95,73.77,57.57,4.400601488666666,1991.25,HIP20535,-0.629497188051046,143.5182273425399,1.72607e+07 au,2.2263055260959685,1.241562042369573
3.84,67.14346805,15.96221721,20.66,104.76,-15.01,4.476231203333333,1991.25,HIP20885,40.51145714459832,112.27848873853209,9.98378e+06 au,0.6927422313013263,0.7027196801949513
3.53,67.15388879,19.18052092,21.04,107.23,-36.77,4.4769259193333335,1991.25,HIP20889,42.88385332198904,109.36487219310393,9.80346e+06 au,0.6461558472558172,0.6754145764959656
3.4,67.16531219,15.8709468,21.89,108.66,-26.39,4.4776874793333326,1991.25,HIP20894,40.42895997885827,112.33710777819415,9.42279e+06 au,0.6942895120186767,0.7031866556105923
3.3,68.49882684,-55.04500559,18.56,58.06,12.73,4.566588456000001,1991.25,HIP21281,-19.567564865263193,153.01802444865478,1.11134e+07 au,4.385100965083795,0.5368154392395571
3.81,68.88779874,-30.56231049,15.62,-48.92,-12.75,4.592519916,1991.25,HIP21393,1.1230319064384036,139.67442652721618,1.32052e+07 au,2.0354466378784184,1.0750769830102003
0.87,68.98000195,16.50976164,50.09,62.78,-189.36,4.598666796666667,1991.25,Aldebaran,39.74215838175275,110.08424334428861,4.11788e+06 au,0.699062555540652,0.6718473091123296
3.93,69.07975243,-3.352448,5.56,1.73,-4.54,4.605316828666667,1991.25,HIP21444,24.02456806354123,124.49536595776864,3.7098e+07 au,1.068544654960367,0.8378573208665917
3.86,69.54529558,-14.303587,29.84,-77.86,-178.06,4.636353038666667,1991.25,HIP21594,14.637079107416804,130.50617465654608,6.91236e+06 au,1.3672519482114487,0.9236419521589743
3.19,72.45890935,6.96124744,124.6,463.44,11.62,4.830593956666666,1991.25,HIP22449,30.271417797104636,114.50915401463023,1.65542e+06 au,0.8830827295065468,0.686666515484055
3.68,72.80152507,5.60510146,2.59,-3.62,1.03,4.853435004666666,1991.25,HIP22549,29.00406054106644,115.18651206213299,7.96389e+07 au,0.9106836592673703,0.6897936319561161
3.71,73.5628985,2.44067149,2.43,1.43,0.23,4.904193233333333,1991.25,HIP22797,26.048758106087217,116.72416937824721,8.48826e+07 au,0.9777300666151673,0.6961998710159832
2.69,74.24840098,33.16613537,6.37,3.63,-18.54,4.949893398666666,1991.25,HIP23015,47.241515142384486,88.43865557455823,3.23807e+07 au,0.510326090613761,0.4966676168642673
3.03,75.49222507,43.82331397,1.6,0.18,-2.31,5.032815004666667,1991.25,HIP23416,51.689647286162106,73.41660383000199,1.28916e+08 au,0.3973092978201329,0.42741725618582305
3.69,75.61950025,41.07588953,4.14,8.88,-21.43,5.041300016666667,1991.25,HIP23453,50.408313590188826,77.2870937669268,4.98224e+07 au,0.4269848465751689,0.4408862347226034
3.19,76.36521705,-22.37085673,14.39,19.27,-72.35,5.09101447,1991.25,HIP23685,4.337177357427584,129.58971181716043,1.43339e+07 au,1.6832221053407475,0.742881445542847
